,term,definition,break_down
12,Accidental Death And Dismemberment Insurance (AD&D),"Accidental death and dismemberment insurance (AD&D) is usually a rider to a health insurance or life insurance policy. The rider covers the unintentional deathor dismembermentof the insured. Dismemberment includes the loss, of or the loss of use, of body parts or functions (e.g., limbs, speech, eyesight, or hearing). Because of coverage limitations, prospective buyers should carefully read the terms of the policy.",
13,Accidental Death Benefit,"The accidental death benefit ispayment due to the beneficiary of an accidental death insurance policy, which is often a clause orrider connected to a life insurance policy. The accidental death benefit is usually an amount paid in addition to the standard benefit payable if the insured died of natural causes.","Depending on the issuer of the policy, the accidental death benefit may extend up to a year after the initial accident occurred, so long as the accident led to the insured's death."
14,Accidental Means,"Accidental means is a condition for losses covered under an insurance policy that requires the loss to have been the result of an accident, rather than the result of a non-accident. As a condition, accidental means is designed to protect insurers from having to pay claims on events that were not accidents.","Insurers use the wordaccident to describe an event that happens unintentionally, and which is unexpected or unforeseen. Accidental means may involve acts that caused damage or harm, but which were themselves accidental. Both the injury and the event have to be considered accidents in order for a claim to be covered. Accidental means is a precise definition ofaccident, and is stricter than merely defining an accident as an unforeseen event."
15,Account Current,"The account current is a summary statement detailing the financial performance of an individual insurance agents business over a specified period. These statements form the basis for reconciliation of accounts between the insurer and the agent. The account current provides the basis of a paper trail as premiums paid by policyholders travel between insurance provider, agencies, and agents.","An account current lays out the financial components of an insurance agents business in detail. The statement is usually comprehensive in that it specifiespremium and claim performance at the individual policy level. The accounting also typically shows summary transaction information as a record of balances owed. These balances are due to either to the insurance agent or the insurer, depending on the balance of claims paid, the premiums which are writtenand those which are returned, and commissions."
16,Accountable Care Organizations,"Accountable Care Organizations are networks of healthcare providers who collaborate to provide improved and more cost-effective treatment to patients. These organizations were established under Medicare Shared Savings Program, a portion of the Affordable Care Act of 2010. These organizations were originally designed to support Medicare participants but have grown to include private payer networks as well.","Accountable care organizations (ACOs) were designed to share information, provide more cost-effective treatments services, and eliminate redundancies for patients in the Medicare system. ACOs are structured around a patients primary care physician (PCP), but should also include hospitals, pharmacies, specialists, and other service providers to achieve optimal efficiency. The ACO model was introduced through the Medicare Shared Savings Program, a component of the 2010 Affordable Care Act (ACA). The ACA mandates that an approved ACO manage the healthcare of a minimum 5,000 patients over a three-year period. ACOs are overseen by the Centers for Medicare and Medicare Services (CMS)."
17,Accounts Receivable Insurance,Accounts receivable insurance protects a company against financial losses caused by damage to its accounts receivable records. This type of coverage is important because theloss of accounts receivable records may render afirmunable to collect money it is owed by customers.,"Accounts receivable insurance provides protection for a variety of situations involving a company's accounts receivable records. First, it will cover a firm for sums that can't be collected fromcustomers due torecords beingdamaged or destroyed by a covered peril. Accounts receivable coverage will also cover a policyholder for interest charges on a loanobtained to offset uncollected sums."
18,Accredited Advisor In Insurance - AAI,An Accredited Advisor in Insurance (AAI) is a credential earned by insurance professionals after a course of study and a series of examinations.,Accredited Advisor in Insurance is a professional designation earned by insurance producers who demonstrate superior knowledge of their field compared to average agents. Insurance professionals earn the title by passing a series of three tests administered by the Insurance Institute of America. The knowledge gained from the course of study required to pass these tests can aid insurance agents selling sophisticated products or dealing with unusually complex insurance situations.
19,Accumulated Value,"Accumulated value is the total amount an investment currently holds, including the capital invested and the interest (gain) it has earned to date. Accumulated value is important in the insurance field because it refers to the total acquired value of awhole (or universal)life insurancepolicy. It is calculated as the sum or total of the initial investment, plusinterest earned to date. Accumulated value is alsoreferred to as accumulated amount or cash value.","For insurance purposes, accumulatedvalue begins to buildwhen the policyholder of a whole (or universal) life insurance policy startspayinga monthly premium. An insurance company takes thosepremium payments and divides theminto two portions. The first portion covers the basic insurance policy costs. The second portion acts as a type of investment that accumulates cash value, which is placed in an internal account by the insurance company."
20,Accumulation Option ,"An accumulation option is a policy feature of permanent life insurance that reinvests dividends back into the policy, where it can earn interest.Some types of insurance pay dividends to their policyholders each year when the insurance company performs better than estimated.Accumulation options areone of several optionspolicyholders have for what to do withthedividends they receive. An accumulation option is also known as an""accumulation at interest dividendoption,"" ""accumulation at interest option"" or ""dividends on accumulation.""","Accumulation options are available to participating permanent life insurance policyholders. The interest earned is taxable to the policy owner annually. The total dividend balance is payable in addition to the face amount of the whole life policy as a death benefit, as well as, being included with the whole life policy guaranteed cash value upon the surrender of the policy."
21,Act Of God,"An act of God describes an event outside of human control or activity. It's usually a natural disaster, such as a flood or an earthquake. Insurance policies usually specify which particular acts of God they cover, if any.",The phraseact of God is not actually associated with any particular religion or belief system. Contractual languagereferring to acts of God are known as force majeure clauses.
22,Act-as-One Provision,An act-as-one provision is areinsurance contract provision requiringreinsurers that are party to a single contract to work together to choose a single arbitrator in the case of a dispute. An act-as-one provision is used when multiple reinsurance companies are involved in the same disputeand prevents a situation in which multiple arbitration panels are being used to represent different reinsurers.,"Act-as-one provisions streamline the settling of disputes by treating all reinsurers associated with the dispute as one, rather than involving many different arbitration panels in the proceedings. By forcing the reinsurers to work together, the process bypasses confusion. The dispute is thus between the reinsured and a group of reinsurers that are all treated as if they were part of a single reinsurance company."
23,Active Retention,"Active retention is the act of protecting against a loss by designating specific funds to pay for it. This is the opposite practice of passive retention, in whichno funds are set aside to cover an upcoming or estimated loss.","Active retention, also sometimes known as planned retention, is used to ensure the ability to cover smaller or expected losses. It is viewed as a form of self-insurance whereas the entity expected to experience the loss relies on their own funds to cover any occurrences. This practice can be used by those looking to avoid additional fees and costs associated with dealing with agencies, or for activities that may not qualify for traditional insurance."
24,Actual Authority,"Actual authority refers to specific powers, expressly conferred by a principal (often an insurance company) to an agent to act on the principal's behalf. This power may be broad, general power or it may be limited, special power. Specific powers are alsoknown as ""express authority.""","Actual authority arises where the principal's words or conduct rationally cause the agent to believe that he or she has been empowered to act. An agent receives actual authority either orally or in writing. Written authority is preferable, as verbal authority is somewhat difficult to verify. In a corporation, written express authority includes bylaws and resolutions from directors' meetings which grant the authorized person permission to carry out a specificact on behalf of the corporation.Ifan agent, operating under actual authority,enters into a contract with a third party, the contract will create contractual rights and liabilities between the principal and the third party."
25,Actual Cash Value,"Actual cash value is the amount equal to the replacement cost minus depreciation of a damaged or stolen property at the time of the loss. It is the actual value for which the property could be sold, which is always less than what it would cost to replace it.","Sometimes, insurance companies use actual cash value to determine the amount to be paid to a policyholder after loss or damage to the insured property. In the case of an automobile that is totaled in an accident, for example, the insurance company would typically pay the actual cash value of the vehicle after determining its replacement cost and subtracting factors such as depreciation and wear and tear. Under replacement-cost coverage, the insurer would pay the amount required to replace the covered item with a like-kind new one."
26,Actuarial Age,"Actuarial age is an individual's life expectancy based on calculations and statistical modeling. Actuaries use mathematical and statistical computations to predict a person's life expectancy, or his or her actuarial age, to assist insurance companies with pricing, forecasting and planning. For instance, knowing a person's actuarial age will help determine the most appropriate payments from an annuity.",A person's actuarial age is the age to which mathematical and statistical modeling indicate a person will live. The actuarial age reflects factors such as health and serious medical conditions. Actuaries assess risk for insurance companies and use computerized predictive modeling to project probable outcomes for a wide variety of circumstances.
27,Actuarial Assumption,"An actuarial assumption is an estimate of an uncertain variable input into a financial model, normally for the purposes of calculating premiums or benefits. For example, a common actuarial assumption relates to predicting a person's lifespan, given their age, gender, health conditions and other factors. Actuaries use large tables of statistical data which correlate the uncertain variable to a variety of key predictive variables. Given the values for the predictive variables, a sound actuarial assumption can be made for the uncertain variable.","Anactuarial assumptionestimates of an unknown value based on themethods of actuarial science. An actuarial assumption is made using statistical tools, such as thecorrelationof known values to possible outcomes for the unknown value. Typically, the preparation of an actuarial assumption requirescomplex mathematical and statistical techniques."
28,Actuarial Equity,"Actuarial equity is the calculation of an insurance premium based on crucial factors such as the applicant's age, gender, health, family history and the type of insurance coverage applied for. This is soinsurers can to treat applicants fairly according to their estimated risk levels.","In automobile insurance, for example, insurers use age as a rating factor in determining individual premiums. Thus, because young people tend to have less favorable driving records as a group, these individuals are required to pay out more in premiums, which normally include the expected value of losses. Also known as risk-based pricing."
29,Actuarial Life Table,"An actuarial life table is a table or spreadsheet that shows the probability of a person at a certain age dying before his or her next birthday.These statistics calculate the remaining life expectancy for people at different ages and the probability of surviving a particular year of age. Because men and women have differing mortality rates, an actuarial life table is computedseparately for men and women.An actuarial life table is also called mortality table, life table or actuarial table.","Insurance companies utilize actuarial life tables to help price products and project future insured events. Mathematically and statistically based actuarial life tables assist insurance companies by showing event probabilities, such as death, sickness and disability. An actuarial life table can also include factors to differentiate variable risks such as smoking, occupation, socio-economic status and even gambling and debt load. Computerized predictive modeling allows actuaries the ability to calculate for a wide variety of circumstances and probable outcomes."
30,Actuarial Rate,"Actuarial rate is an estimate of the expected value of future loss. Usually, the future loss experience is predicted on the basis of historical loss experience and the consideration of the risk involved. Accurate actuarial rates help protect insurance companies against the risk of severe underwriting losses that could lead to insolvency.","Generally, during the rate review, it is first determined whether the actuarial rates need to be adjusted. A projected loss experience gives the insurance companies the ability to determine the minimum premium required to cover expected losses."
31,Actuarial Risk,"Actuarialrisks are the risks that the assumptions that actuaries implement into a model to price a specific insurance policy may turn out wrong or somewhat inaccurate.Possible assumptions include the frequency of losses, severity of losses and the correlation of losses between contracts. Actuarial risk is also known as ""insurance risk.""",The level of actuarial risk is directly proportional to the reliability ofassumptions implemented in pricing models used by insurance companies to set premiums.
32,Actuarial Science ,"Actuarial science is adiscipline that assesses financial risks in the insurance and finance fields, using mathematical and statistical methods. Actuarial science appliesthe mathematics of probability and statistics to define, analyze and solve the financial implications of uncertain future events. Traditional actuarial science largely revolves around the analysis of mortality and the production of life tables, and the application of compound interest.","Actuarial science became a formal mathematical discipline in the late 17th century with the increased demand for long-term insurance coverage such as burial,life insurance, and annuities.Actuarial science spansseveralinterrelated subjects, includingmathematics,probability theory,statistics,finance,economicsandcomputer science. Historically, actuarial science used deterministic models in the construction of tables and premiums. In the last 30 years, the science has undergone revolutionary changesdue to the proliferation of high speed computers and the union ofstochasticactuarial models with modern financial theory."
33,Actuarial Service,"Actuarial service is one way corporations determine, assess and plan for the financial impact of risk. Actuaries use mathematical and statistical models to evaluate risk in the insurance and finance industries. In addition to mathematical and statistical methods, actuaries call upon other fields including probability, finance, economics and computer programming to create actuarial models. Actuarial science is used to evaluate and predict future payouts for insurance and other financial industries such as the pension industry.","Actuarial services include the analysis of rates of disability, morbidity, mortality, retirement, survivorship and other contingencies. By using mathematical and statistical modeling, actuaries are able to provide estimates regarding particular events, such as the life span of a life insurance applicant, or the likelihood of a catastrophic, weather-related event for a property and casualty insurance firm. Actuarial services forecast risk and uncertainty and help firms plan for future probabilities and possibilities."
34,Actuarial Value,"Actuarial value is thepercentage of total average costs for covered benefits that will be paid by a health insurance plan. Under the Patient Protection and Affordable Care Act (ACA), the U.S. health reform enacted March 23, 2010, health plans available on the Health Insurance Marketplace are divided into fourmetallic tier levels – Bronze, Silver, Gold and Platinum – based on the actuarial values. Bronze plans, for example, pay on average 60% of the medical costs of covered benefits. Silver plans pay 70 percent, Gold plans pay 80 percentand Platinum plans pay 90 percent.","By default, the actuarial value represents the corresponding percentage that will be paid by the individual policy holders. For example, if a Bronze plan pays (on average) 60 percentof covered medical expenses, Bronze policy holders would be responsible for (on average) the remaining 40 percentof the expenses excluding premiums, which are not included as part of the calculation."
35,Actuary,"An actuary is a professional whoassesses and manages the risks of financial investments, insurance policies and other potentially risky ventures.",
36,Add To Cash Value Option,"The add to cash value option is a common benefit option on life insurance policies wherein the policy owner allows the dividends from the policy to be used for the purposeof accumulating cash value, which adds to the overall death benefit.","The add to cash value option allows policyholders, upon the death of the insured, to increase thedeath benefitfor their beneficiaries based upon the cash value amount accrued within the policy."
37,Add-On No-Fault Laws,"Add-on no fault laws are a type of state statute that allow policyholders to bring litigation against other drivers, even if they have personal injury protection (PIP) coverage through their auto insurance policy.","Several states have add-on no-fault laws These laws are less restrictive on the issue of torts than laws only allowing for pure no-fault insurance. States with add-on no fault insurance laws include Arkansas, Delaware, Washington D.C., Maryland, New Hampshire and Oregon."
38,Addendum,"An attachment to a contract is an addendum. Addendums are useful to changeterms or conditions ofmany types of contracts.Its function is to modify, clarify, or nullify a portion of the original documents.","An addendum may include any written itemaddedto an existing piece of writing. The addition often applies to supplemental documentation to change the initial agreement forming the original contract. In that context,The addition may also serve a purely informational purpose, such as a supplement to a book or documents that demonstrate a provision of the contract. In these cases, the information may also contain drawings or diagrams that clarify the details of an agreement."
39,Additional Death Benefit,Additional death benefit is a term that refers to an amount paid to a beneficiary of a life insurance contract that is separate from the original death benefit.,"Additional death benefit is an extra layer of payment in the event that a predefined situation occurs. For example, if an individual has a life insurance policy worth $1 million, their beneficiary receives the $1 million dollars, but this beneficiary may qualify for additional money depending on the circumstances of the policyholders death as outlined in the life insurance contract. Additional death benefits can occur for a variety of reasons, and in some policies beneficiaries can receive an extra $1 million if the policyholder dies within a certain age range."
40,Additional Expense Coverage,"Additional expense coverage is coverage that provides funds for expenses above what the policyholder was paying before a claim was made. It is provided to a policyholder if certain criteria are met, and may have a maximum time period over which benefits can be received and a policy limit of the amount of coverage that will be provided.","In order for an expense to be considered for repayment by an insurer under a homeowners policy it must meet a certain number of qualifications. The expense must be considered necessary, must be incurred by the policyholder, must be for the purpose of continuing a normal standard of living, and must be caused by the insurable event occurring. For example, in the case of a homeowner who has his property damaged in a fire, additional expense coverage may cover expenses related to extra costs for food, laundry, and transportation."
41,Additional Insured,"Additional insured is a type of status associated with general liability insurance policies that provides coverage to other individuals/groups that were not initially named. With an additional insuredendorsement, the additional insured will then be protected under the named insurer's policy and can file a claim in the event that they are sued.","As an example of how theadditional insured concept works, a business may ask a contractor to add them as an additional insured in their general liability policy. This is to protect the business in the event oflegal claims that may arise as a direct result of the contractor's work or presence."
42,Additional Living Expense (ALE) Insurance,"Additional living expense (ALE)insurance refers to coverage under a homeowner's, condominium owner's or renter's insurance policy that covers the additional costs of living that are incurred by the policyholder should they be temporarily displaced from their place of residence. Such coverage is usually amounts toabout 10to 20 percentof the insurance that covers the dwelling.","Additional living expense insurance can cover things like the increase in a monthly food bill due to having to eatout at restaurants or even the loss of income that might be incurred if the insured person were renting out part of their dwellingto a tenant. Essentially, the insurance is intended to cover the insured person for the extra expenses he or she may incur due to being temporarily displaced from their home, such aswith afire or flood."
43,Adequacy Of Coverage,"The adequacy of coverage concerns how well your insurance policies protect your assets against unforeseen losses. In order to evaluate the adequacy of your insurance coverage, you should consider many different loss scenarios and judge whether your insurance deductibles and limits are sufficient.","The concept of adequacy of coverage is subjective, and largely depends on one's propensity to take on risk rather than pay higher insurance premiums. One's ability to absorb losses should also be considered, as a person with very few liquid assets will be unable to pay large deductibles or sustain other uninsured losses. Alternatively, those with substantial assets may wish to obtain higher limits to their coverage to avoid losing the wealth built up over many years."
44,Adhesion Contract,"In an adhesioncontract,one party has substantially more power than the other in creating the contract. For a contract of adhesion to exist, the offeror must supply a customer with standard terms and conditions that are identical to those offered to other customers. Those terms and conditions are not negotiable.","An example of an adhesion contract is an insurance contract. In an insurance contract, the company and its agent has the power to draft the contract, while the potential policyholder only has the right of refusal; he or she cannot counter the offeror create a new contract to whichthe insurer canagree.Before signing an adhesion contract, it is imperative toread it over carefully, as all the information and rules have been written by the other party."
45,Adjustable Feature,An adjustable feature is contract language that allows adjustments to be made to the premium and commission features of a reinsurance treaty. An adjustable feature may include such features as sliding scale commissions and adjustable ratings. The formulas used by contract parties to adjust premiums and commissions are agreed to in the original contract. Adjustable features are found in most pro rate reinsurance treaties.,"Adjustable features are considered a risk that reinsurance companies have to account for, and which reinsurers wish to limit as much as possible. It alters the timing and amount of cash flows between the reinsured, which cedes premiums, and the reinsurer, which assumes risk. While reinsurance companies may prefer contracts without adjustable features, the number of contracts that are considered straightforward reinsurance contracts tend to be small."
46,Adjustable Life Insurance,"Adjustable life insurance is a term and whole life hybrid insurance plan that allows policyholders the option to adjust policy features. These policies allow policyholders the ability to adjust the period of protection, face amount, premiums, and length of the premium payment period. These policies also incorporate an interest-bearing savings component or cash value account.",
47,Adjustable Premium,An adjustable premium is a type of insurance policy with a monthly payment that can fluctuate over time.,"An adjustable premium can also be known as a variable premium in the insurance market. Things like higher than expected maintenance costs on the policy may cause the rates to increase. On the other hand, increased investment returns from the insurance company could lessen the monthly outlay. Most of the time consumers seek these types of policies out when they are looking for flexibility in their monthly payment or when they expect their lifestyle situation to change over time and would like to have their payments change with it."
48,Adjusted Earnings,"Adjusted earnings are the sum of earnings and increases in loss reserves, new business, deficiency reserves, deferred tax liabilities and capital gainsfor an insurance company from the previous time period to the current time period. Adjusted earnings providea measurement of how current performance compares with performance in previous years.","Calculating adjusted earnings can varyaccording to the type of insurance being sold. Because outside investors do not have access to the same amount of information as internal employees, it can be difficult to ascertain an insurers adjusted earnings. Approaches may vary according to how they examine expenses and premiums.A property and casualty insurance company, for example, will calculateadjusted earnings by taking the sum of its net income, catastrophe reservesand reserves for price changes, thensubtracting gains or losses from investment activities. A life insurance company will subtract capital transactions, such as increases in capital, from increases in premiums written."
49,Adjusted Net Worth,"Adjusted net worth calculates the value ofan insurance company, using capital values, surplus valuesand an estimated value for business on the company's books. Itstarts with the estimated value for business and addsunrealized capital gains, the capital surplus and the voluntary reserves.","As the adjusted net worth represents a measure of value of an insurance company, it is a useful way to compare the company's relative value to other insurance companies. The word ""adjusted"" in the phrase is a clue that it is meant to reflect economic value which can be compared between multiple firms. It is common to standardize values that are generated from the financial statements to use in analyzing an industry. This allows a particular company's relative value to be statistically compared across theindustry."
50,Adjusted Premium,"An adjusted premium is the premium of a life insurance policy that is adjusted by amortizing the costs associated with acquiring the insurance policy. The adjusted premium is equal to the net-level premium plus an adjustment, to reflect the cost associated with the first year initial acquisition expenses.The adjustment to the net-level premium is an amortization of the expenses associated with establishing the initial insurance policy. The net-level premium is the total cost of the policy (from inception to payout), divided by the number of years the policy is expected to be in force. This term is specific to life insurance companies. ","The adjusted premium is important for life insurance companies to calculate, as it is the premium used to figure the minimum cash surrender value (CSV). All life insurance policies are required to calculate a CSV due to the Nonforfeiture Provision, which means that the life insurance policy always has a value, even when the policy holder chooses not to use it for its original purpose (payout upon death).The CSV is the value that could be received by terminating the policy and choosing to ""cash-out."" The insured is entitled to other choices under the provision, including taking a loan against the policy using the cash value as collateral. "
51,Adjusted Premium Method,"The adjusted premium method is a formula that insurance carriers use to calculate the cash surrender value of a life insurance policy. In a broad sense, this method is based on the total value of premiums paid up to the surrender date, net of any expenses or fees that have accumulated to that point.","The adjusted premium method is the most commonly used formula for calculating the cash surrender value (CSV) of a life insurance policy. Insurance carriers use this formula to determine the payout due to a policyholder in the event that they choose to cancel the policy prior to the end of its term, if applicable. The CSV of a policy is drawn from the savings portion of that policy, as opposed to the portion that is set aside for payment of death benefits. The CSV should not be confused with the policys face value, which is another term for the death benefit."
52,Adjusted Underwriting Profit,Adjusted underwriting profit is the profitthat an insurance company earns after paying out insurance claimsand expenses. Insurance companies earn revenue by underwritingnew insurance policiesand earning income on their financial investments. Subtracted from this revenue are expenses associated with running the business and any claims that are made by insurance policyholders. The remainder is the adjusted underwriting profit. This term is specific to the insurance industry.,"The adjusted underwriting profit is a measure of success for an insurance company. It is important for an insurancecompany to successfully manage their financial investments so they can pay out on the insurance policies they have sold. If they practice prudent underwriting procedures and responsible asset-liability management (ALM), they should be able to generate a gain. If they underwrite policies they shouldn't or fail to match their assetsto their future insurance policy liabilities, they will not be as profitable."
53,Adjuster,An adjuster is an insurance claims agent. A claims adjuster is charged with evaluating an insurance claim to determine the insurance company's liability under the terms of an owner's policy.,"There are different types of adjusters. They may represent the insurance company, they may be hired by the claimant (public adjusters) or they may be independent. The two types of claims most frequently investigated are property claims and liability claims."
54,Adjustment Income,"Adjustment income is income paid to the dependent(s) of a primary wage earner in the event that the primary wage earner passes away. These funds, usually provided through life insurance policies, represent income above and beyond the death benefit and are intended to provide financial support while the beneficiary adjusts to becoming self-sufficient.","Adjustment income is a benefit that provides financial assistance to a beneficiary once the primary wage earner has passed away. A common example of adjustment income would be funds provided to a widow upon the death of her spouse. This income is intended to help cover expenses until the beneficiary is self-sufficient, allowing an individual the necessary time to recover emotionally and to receive career counseling and job training, if necessary."
55,Adjustment Provision,"Adjustment Provision is a provision or provisions in a life insurance policy that allows the it to be changed in one or more ways. This may involve increases or decreases to either the policy's premium or face amount, changes to the length of protection or period of premium payments.","Adjustable life insurance policies carry higher premiums but allow the policy holder to make adjustments as his or her needs change. Insurers and plans differ regarding the frequency, amount and degree of changes allowed. Increases to a policy's face amount usually require that the policy holder re-prove his/her insurability."
56,Administrative Charge,"An administrative charge is a fee charged by an insurer or other agency responsible for administering a group employee benefit plan to cover expenses related to record keeping and/or other administrative costs. It is also referred to an an ""administrative fee.""","Altering aninsurance policy mid-term canresult in costly administrative charges.Consider a scenario in whichyouve compared prices and found a great insurancedeal.You might think finding that great rate is all you mustdoto geta great insurancebargain.However, sometimes the unforeseen and inevitable happen –you change jobs, you move to a new house, you upgrade your car or you sell it.In such situations, youll need to let your insurer know to avoid invalidating your policy. Unfortunately, these types of situations can result in unanticipated administrative charges."
57,Administrative Services Only - ASO,"Administrative Services Only (ASO) is an arrangement in which an organization funds its own employee benefit plan such as a health plan but hires an outside firm to perform specific administrative services. For example, an organization may hire an insurance company to evaluate and process claims under its employee health plan, while maintaining the responsibility to pay the claims itself.","ASO arrangements are common in the Canadian health plan space. Plan specifics vary depending on the agreement a company establishes with insurance companies and third-party administrators (TPA). But in these arrangements, the insurance company provides little to no degree of insurance protection as it would through a fully-insured plan sold to the employer. In this sense, an ASO plan is a type of self-insured plan or self-funded plan. The employer takes full responsibility for claims made to the plan. For this reason, many employers running ASO plans also establish stop-loss arrangements in which the insurance company takes responsibility for paying claims that exceed a certain level such as $10,000 per insured person in exchange for a premium."
